sep=\t
Module Resource Usage Distribution Estimates
Generated at: Feb 08, 2024 11:42:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
   +system_fabric_iBus_bmb_arbiter:BmbArbiter_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       5(0)	       0(0)	       9(0)	      71(4)	     0(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_5_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       5(5)	       0(0)	       9(9)	     67(67)	     0(0)	     0(0)	     0(0)	
   +system_fabric_invalidationMonitor_logic_monitor:BmbInvalidateMonitor_3c5c6ba8cd47460daa75b7c3d4f9b3fe	      56(6)	       0(0)	       0(0)	     74(11)	     0(0)	     0(0)	     0(0)	
    +rspLogic_rspToSyncFiltred_s2mPipe_fifo:StreamFifo_8_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     50(50)	       0(0)	       0(0)	     63(63)	     0(0)	     0(0)	     0(0)	
   +system_fabric_exclusiveMonitor_logic:BmbExclusiveMonitor_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   327(319)	       0(0)	     69(60)	   382(310)	     0(0)	     0(0)	     0(0)	
    +logic_exclusiveReadArbiter:StreamArbiter_3_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       5(5)	       0(0)	       9(9)	     18(18)	     0(0)	     0(0)	     0(0)	
    +logic_cmdArbiter:StreamArbiter_4_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       3(3)	       0(0)	       0(0)	     54(54)	     0(0)	     0(0)	     0(0)	
   +system_fabric_dBusCoherent_bmb_arbiter:BmbArbiter_1_3c5c6ba8cd47460daa75b7c3d4f9b3fe	      11(6)	       0(0)	      14(5)	    142(14)	     0(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_2_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       5(5)	       0(0)	       9(9)	   127(127)	     0(0)	     0(0)	     0(0)	
    +streamFork_5:StreamFork_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_2_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       3(0)	       0(0)	       0(0)	     150(1)	     0(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_1_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       3(3)	       0(0)	       0(0)	   149(149)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoderPerSource_3c5c6ba8cd47460daa75b7c3d4f9b3fe	    115(72)	       0(0)	   111(104)	    186(50)	     0(0)	     0(0)	     0(0)	
    +bmbErrorSlave_1:BmbErrorSlave_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     39(39)	       0(0)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
    +streamArbiter_8:StreamArbiter_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       4(4)	       0(0)	       7(7)	   120(120)	     0(0)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     37(37)	       0(0)	       0(0)	   196(196)	     0(0)	 256(256)	     0(0)	
   +system_bridge_bmb_downSizer:BmbDownSizerBridge_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     36(36)	       0(0)	       3(3)	     72(72)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_unburstify:BmbUnburstify_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     63(63)	       0(0)	       0(0)	     87(87)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_unburstify_1:BmbUnburstify_1_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     57(57)	       0(0)	       0(0)	   101(101)	     0(0)	     0(0)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_1_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   144(144)	       0(0)	       0(0)	   172(172)	     0(0)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   399(399)	       0(0)	     63(63)	   467(467)	     0(0)	     0(0)	     0(0)	
